S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
26,"M/s. Abbott Healthcare Pvt.
Ltd.
4 Corporate Park,
Sion Trombay Road,
Chembur, Mumbai
~400071","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,
California 95054, USA
Having manufacturing
premises at
M/s. Abbott Vascular , 26531,
Ynez Road, Temecula,
California 92591, USA","HI- TORQUE Versa Turn
Guide Wire / Guidewire","31-307-MD/2007-DC
(Re Reg. 02) (End.01)",,MD-307,07.07.2015,30.06.2016,,
27,"M/s Johnson and Johnson
Ltd., A-1/50, Room No.2,
100 Shed area, G.I.D.C,
Vapi, Tal:Pardi (Valsad),","M/s. Depuy Orthopaedics
Inc., 700 Orhopaedic Drive,
Warsaw, Indiana 46582 USA
Having manufacturing","1. S-ROM/ Hip Replacement
System
2. Sigma / Knee Replacement
System","31-1160-MD/2012-DC
(Re. Reg. 01)",,MD-1160,15.07.2015,31.10.2018,,
,Gujarat,"premises at
M/s Depuy (Ireland),
Loughbeg, Ringaskiddy, Co.
Cork, Ireland","3. LCS / Knee Replacement
System
4. Pinnacle / Hip
Replacement System",,,,,,,
27,"M/s. Covidien Healtcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor,
Poonamallee High Road,
Kilpauk, Chennai-10","M/s. Covidien Ilc, 15,
Hampshire Street, Mansfield,
MA 02048, USA Having
manufacturing premises at
M/s. Covidien Building 911-
67, Sabanetas Industrial Park
Ponce, Puerto Rico 00731,
USA","1. ProTack Aurosuture /
Fixation Device
2. Surgipro™ II /
Monofilament Polypropylene
Non-absorbable Mesh
3. Multifire Endo GIA™
Autosuture™ /Loading
Unit/Stapler
4. GIA™ Autosuture™ Load
/Stapler /Loading Unit with
DST Series Technology
5. TA 90 B™ Autosuture™
/Bariatric Loading Unit /
Reusable Stapler
6. TA Premium™
Autosuture™ / Loading Unit /
Reusable stapler
7. TA Premium™
Autosuture™ / Vascular
Loading Unit
8. TA™ Autosuture™ /
Loading Unit with DST
Series™ Technology
9. TA™ Autosuture™ /
Vascular Stapler/Loading Unit
with DST Series Technology
10. EEA™ Autosuture™ /
Circular Stapler with DST
Series™ Technology
11. EEA™ Autosuture™ /
Reusable Stapler Reload
12. Purstring™ Autosuture™
/ Purse String Device","31-796-MD/2010-DC
(Re-Reg. 03)",,MD-796,15.07.2015,30.06.2018,,
27,"M/s. S3V Vascular
Technology Pvt. Ltd.Plot","M/s. Qualimed Innovative
Medizinprodukte GmbH,","3V SIRIS / Rapamycin -
Eluting Coronary Stent",31-1551-MD/2014-DC,,MD-1551,17.07.2015,14.07.2018,,
,"No 229/A, Hebbal
Industries Area, Mysore-
570018","Boschstrasse 16, 21423
Winsen, Germany",System,,,,,,,
27,"M/s. India Medtronic Pvt.
Ltd., Plot No. 609,
Survey/Shed-188 (Part),
Chamunda Comp., Kasheli
Village, Dist. Thane,
Bhiwandi, Maharashtra
421301","M/s. Medtronic Inc, 710
Medtronic Park Way,
Minneapolis, MN - 55432,
USA Having manufacturing
premises at
M/s. Medtronic Vascular,
37A, Cherry Hill Drive,
Danvers, MA 09123, USA","1. Laucher and Sherpa NX /
Guiding Catheter
2. Export Export Ap, Export
Advance/ Aspiration Catheter
3. Guardwire / Temporary
Occlusion and Aspiration
System
4. Pulmonary Wedge
Pressure Catheter / Right
heart Cardiovascular
Catheter
5. Brokenbrough ( Non
Sterile) / Transsepatal Needle
and Needle stes","31-63-MD/2006-DC (Re
Reg.03)",,MD-63,17.07.2015,31.08.2018,,
27,"M/s. Carl Zeiss India
(Bangalore) Pvt. Ltd., Plot
No.3, Block 2 - Vision
Jigani LINK Road,
Bommsandra Industrial
Area, Bangalore - 560099","M/s. Hyaltech Ltd., Starlaw
Business Park Livingston,
EH54 8SF, United Kingdom","1. TWINVISC /Sodium
Hyaluronate Prefilled Syringe","31-1052-MD/2011-DC
(Re-Reg. 01) (End 01)",,MD-1052,17.07.2015,15.01.2018,,
27,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA Having
manufacturing premises at
M/s. Boston Scientific
Corporation, 2546 First
Street, Propark, EI Coyol,
Alajuela, Costa Rica 20904","1. Dreamwire High
Performance Guidewire /
Non-Vascular Guidewire
2. Zebra™Urological
Guidewire / Non-Vascular
Guidewires
3. Flexima™ APD™ Drainage
Catheter System / All
Purpose Drainage Catheter
System
4. Flexima™ Quickstick™
Drainage Catheter System /
All Purpose Drainage
Catheter System
5. Flexima™ APD™ Drainage
Catheter System kit with",31-1569-MD/2014-DC,,MD-1569,17.07.2015,30.06.2018,,
,,,"Dissolving tip / All Purpose
Drainage Catheter System Kit
6. Flexima™ APDL™
Drainage Catheter System Kit
with Dissolving tip / All
Purpose Drainage Catheter
System Kit
7. Flexima™ APD Drainage
Catheter System with
Dissolving Tip / All Purpose
Drainage Catheter System
8. Flexima™ APDL Drainage
Catheter System / All
Purpose Drainage Catheter
System
9. Flexima™ APDL Drainage
Catheter System with
Dissoving Tip / All Purpose
Drainage Catheter System
10. Autotome™ RX 49
Cannulating Sphincterotome /
Cannulating Sphincterotome
11. Sensor™ Nitinol wire with
Hydrophillic Tip / Non-
Vascular Guidewire
12. Magic Torque Glidex
Coated Hydrophillic
Guidewire / Peripheral
vascular guidewire
13. Microknife XL Triple
Lumen Needle Knife / Needle
Knife
14. Hydra Jagwire High
perfomance Guidewire / Non-
Vascular Guidewire
15. Platinum Plus™
Guidewire / Peripheral
vascular guidewire
16. Ultraome double Lumen",,,,,,,
,,,"Sphincterotome / Double
Lumen Sphincterotome
17. Ultratome XL Triple
Lumen Sphincterotome /
Triple Lumen Sphincterotome
18. Contour VL™ Variable
Length Ureteral Stent / Non-
Vascular Ureteral Stent
19. Contour VL™ Variable
Length Ureteral Stent Set /
Non-Vascular Ureteral Stent
20. Contour VL™ Injection
Set Stent / Non-Vascular
Ureteral Stent
21. Contour™ Ureteral Stent /
Non-Vascular Ureteral Stent
22. Mardis soft Ureteral Stent
/ Non-Vascular Ureteral Stent
23. Mardis soft Ureteral Stent
Set / Non-Vascular Ureteral
Stent
24. PERCUFLEX™ PLUS
Ureteral Stent / Non-Vascular
Ureteral Stent
25. PERCUFLEX™ PLUS
Ureteral Stent / Non-Vascular
Ureteral Stent
26. PERCUFLEX™ PLUS
Ureteral Stent / Non-Vascular
Ureteral Stent
27. POLARIS™ LOOP
Ureteral Stent / Non-Vascular
Ureteral Stent
28. POLARIS™ ULTRA
Ureteral Stent / Non-Vascular
Ureteral Stent
29. RETROMAX™ PLUS
ENDOPYELOTOMY Stent /
Non-Vascular Ureteral Stent",,,,,,,
,,,"30. PERCUFLEX™
COMBINATION STENT /
NEPHROSTOMY
CATHETER / Non-Vascular
Ureteral Stent
31. PERCUFLEX™
LOCKING LOOP ALL
PURPOSE DRAINAGE
CATHETER / Non-Vascular
Ureteral Stent
32. PERCUFLEX™
LOCKING LOOP
NEPHROSTOMY
CATHETER / Non-Vascular
Ureteral Stent
33. PERCUFLEX™
LOCKING LOOP
NEPHROSTOMY
CATHETER KIT / Non-
Vascular Ureteral Stent
34. Flexima™ APDL™
Drainage Catheter System Kit
/ All Purpose Drainage
cattheter system
35. VanSonnenberg Sump
Catheter System Kit /
Drainage Catheter
36. VanSonnenberg Sump
Catheter System / Drainage
Catheter
37. VanSonnenberg Sump
Catheter System With
Dissolving Tip / Drainage
Catheter
38. Platinum Plus™
Guidewires with Glidex
Hydrophilic Coating /
Peripheral vascular guidewire
39. Fexima™ Biliary Catheter",,,,,,,
,,,"System/ Drainage Biliary
Catheter
40. Fexima™ Biliary Catheter
System Kit / Drainage Biliary
Catheter
41. Fexima™ Biliary Catheter
System with Radiopaque
Marker / Drainage Biliary
Catheter
42. Fexima™ Biliary Catheter
System with Dissolving Tip /
Drainage Biliary Catheter
43. Fexima™ Biliary Catheter
System with Dissolving Tip
and Radiopaque Marker/
Drainage Biliary Catheter
44. Carey-coons™ Biliary
Stent System Kit/ Biliary
Drainage Catheter
45. Carey-coons™ Biliary
Stent System Kit with
Dissolving Tip / Biliary
Drainage Catheter
46. Gold ProbeTM Bipolar
Electrohemostasis catheter /
catheter
47. Injection Gold Probe ™
Bipolar Electohemostasis
catheter / catheter
48. Captivator II Single-Use
Polypectomy Snare /
Polypectomy Snare
49. Jagwire™ High
Performance Guidewire /
Guidewire
50. Jagwire™ High
Performance Extendable
Guidewire / Guidewire
51. Pathfinder™ Exchange",,,,,,,
,,,"Guidewire / Guidewire
52. Sensation™ Short Throw
Single-Use Polypactomy
Snares / Polypectomy Snare
53. Rotatable Snare Single-
Use Polypactomy Snares /
Polypectomy Snare
54. Pulmonary Jagwire
Guidewire / Guidewire
55. Katzen Infusion wire /
Guidewire
56. Katzen Core Wire /
Guidewire",,,,,,,
27,"M/s. Becton Dickinson
India Pvt. Ltd., No.34,
Assisi Nagar, West
Thottam, Madhavaram,
Chennai - 51","M/s. Becton Dickinson
Infusion Therapy Systems
Inc., 9450, South street,
Sandy, Utah, 84070, USA
Having manufacturing
premises at
M/s. Becton Dickinson
Infusion Therapy Systems
Inc., S.A. De C.V. Periferico
luis Donald Colocio # 579,
Nogales, Sonora, Mexico-
84048","1. BD Nexiva™ Diffusics™ /
I.V. Catheter
2. BD Nexiva™ / I.V Catheter",31-1529-MD/2014-DC,,MD-1529,17.07.2015,30.06.2018,,
27,"M/s. Bard India Healthcare
Pvt. Ltd., 501, 5th Floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri
(E),Mumbai, Tal : Andheri
East ( Mumbai - Zone5)
400069","M/s. Bard Peripheral Vascular
Inc., 1625 West 3rd Street,
Tempe, Arizona (AZ) 85281,
USA
Having manufacturing
premises at
M/s. Biomedizinische,
Instrumentse and Produkte
GmbH (BIP), AM Brand 1
82299, Tuerkenfeld, Bavaria,
Bayern, Germany D-82299","1. Vacora Vaccum Assisted
Biopsy system / Biopsy
System",31-1506-MD/2014-DC,,MD-1506,17.07.2015,30.06.2018,,
27,M/s. Boston Scientific India,M/s Boston Scientific,1. Alliance II Single - use,31-1576-MD/2014-DC,,MD-1576,21.07.2015,30.06.2018,,
,"Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase -II, New Delhi
- 20","Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
Having manufacturing
premises at
M/s. Boston Scientific
Limited, Business &
Technology Park, Model
Farm Road, Cork, Ireland","Syringe/ Gauge Assembly /
Inflation Devices
2. CRE Fixed Wire Balloon
Dilataton Catheter/
Gastrointestinal Balloon
Catheter
3. CRE Wireguided Balloon
Dilataton Catheter/
Gastrointestinal Balloon
Catheter
4. Extractor Pro DL Retrieval
Balloon CAtheter/ Biliary
Stone Retrieval Balloon
Catheter
5. Extractor Pro RX Retrieval
Balloon CAtheter/ Biliary
Stone Retrieval Balloon
Catheter
6. Extractor Pro XL Retrieval
Balloon CAtheter/ Biliary
Stone Retrieval Balloon
Catheter
7. Hurricane RX Balloon
Dilatation Catheter / Dilatation
Catheter
8. VortX™Diamond -18
Fibered Platinum Coil/
Embolization Coils
9. VortX™ -18 Fibered
Platinum Coil/ Embolization
Coils
10. VortX™35 Fibered
Platinum Coil/ Embolization
Coils
11. 2D-Helical-35 Fibered
Platinum Coil/ Embolization
coils
12. Contour Embolization
Particles/ Embolization",,,,,,,
,,,"Implant
13. Straight - 18 Fibered
Platinum Coil / Embolization
Coils
14. Figure 8-18 Fibered
Platinum Coils/ embolization
coils
15. Multi-Loop - 18 Fibered
Platinum Coil/ Embolization
coils
16. Complez helical -18
fibered platinum coil /
embolization coils
17. IDC™ Interlocking
Detachable Coil /
Embolization coil
18. Interlocking™ Fibered
IDC™ Occlusion System /
Embolization coil
19. Interlocking™--35 Fibered
IDC™ Occlusion System /
Embolization coil
20. Renegade™ Hi-Flo™
Microcatheter Kit /
Intravascular microflow
catheter
21. Renegade™ STC 18
Microcatheter/ Infusion
catheter
22. Renegade™ Hi Flo™
Fathom ™ kit with Fathom™
16 Guidewire / Intravascular
catheter
23. Renegade™ Hi Flo™
Fathom ™ System with
Fathom™ 16 Guidewire /
Intravascular catheter
24. TruePath CTO Device /
CTO Device",,,,,,,
,,,"25. TRue Path Extension
Wire / Guidewire extension
26. Direxion™ Torqueable
Microcatheter / Microcatheter
27. Direxion™ Hi
Flo™Torqueable
Microcatheter / Microcatheter
28. Direxion™ Fathom™-16
System Pre-Loaded
Torqueable Microcatheter /
Microcatheter
29. Direxion™ Transend™-
14 System Pre-loaded
Torqueable Microcatheter /
Microcatheter
30. Direxion™ HI-FLO™-
Fathom™16 System Pre-
loaded Torqueable
Microcatheter / Microcatheter
31. Equalizer Occlusion
Balloon Catheter/ Balloon
Catheter
32. Rotalink Burr
Exchaneable Burr Catheter/
catheter
33. Renegade Fiber Braided
Microcatheter/ Microcatheter
34. CRE Pulmonary Balloon
Dilataion Catheter/ Inflation
Devices
35. Renegade Hi-Flo
Microcathetere/ Microcatheter
36. Occluder Occlusion
Balloon Catheter/Balloon
Catheter
37. Rotalink Plus / Catheter",,,,,,,
27,"M/s. St. Jude Medical India
Private Limited,","M/s. Irvine Biomedical Inc.
2375 Morse Avenue, Irvine,","1. Inquiry™ Fixed Curve
Diagnostic Catheters /","31-23-MD/2006-DC (Re
Reg. 03)",,MD-23,21.07.2015,30.06.2018,,
,"D.No. 8-3-168/B/1, Plot No.
18, 19, Laxmi Nagar,
Behind T.B. Hospital, MCH
Circle-5 Mandal,
Hyderabad","CA 92614, USA","Catheter
2. Inquiry™ Steerable
Diagnostic Catheters /
Catheter
3. Inquiry™ Luma Cath
Steerable Diagnostic
Catheters / Catheter
4. Inquiry™ Steerable
Diagnostic Catheters (Bi-
directional) / Catheter
5. Inquiry™ AFocus™
Diagnostic Catheters /
Catheter
6. Inquiry™ AFocus II™
Diagnostic Catheters /
Catheter
7. Inquiry™ Optima™
Diagnostic Catheters /
Catheter
8. Inquiry™ Optima™ Plus
Diagnostic Catheters /
Catheter
9. Therapy™ Ablation
Catheters / Catheter
10. Inquiry™ Cardioversion
Catheters/ catheter
11. Saffire Blu™ Duo Ablation
Catheters / Catheter
12. Therapy™ Cool Path™
Ablation Catheters/ Catheter
13. Therapy™ Cool Flex™
Ablation Catheters/ Catheter
14. ViewFlex™ Xtra ICE
Catheters/ Catheter
15. Therapy™ Cool Path™
Duo Ablation Catheters/
Catheter
16. Therapy™ Dual 8™
Ablation Catheters/ Catheter",,,,,,,
,,,"17. Cool Path Duo Ablation
Catheter MediGuide Enabled/
Catheter",,,,,,,
28,"M/s. Span Healthcare
Private Limited, Columbus
Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,
Bangalore -560003","M/s. Haemonetics
Corporation, 400 Wood Road,
Braintree, MA, 01284, USA
Having manufacturing
premises at
M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA","Leukotrap RC T & B / Blood
Filter Systems",31-1578-MD/2014-DC,,MD-1578,21.07.2015,15.07.2018,,
28,"M/s. Johnson & Johnson
Pvt. Ltd., J-1 Ground Floor,
Gala No 1 to 10, Shree
Arihant Complex, Reti
Bunder Road, Kalher,
Bhiwandi, Tal: Bhiwandi -
15, Maharashtra - 421302","M/s. Greatbatch Medical, ,
2300 Berkshire Lane North,
Minneapolis, MN 55441, USA","MobiCath Bi-directional
Guiding Sheath / Guiding
Sheath","31-990-MD/2011-DC
(Re. Reg. 01)",,MD-990,21.07.2015,15.07.2018,,
28,"M/s. Cofident Sales India
Pvt. Ltd., No. 47, 2nd Floor,
Pete Chennappa Industrial
Estate, Kamakshipalya,
Magadi Main Road,
Bangalore-560079","M/s. MIS Implants
Technologies Ltd., Bar Lev
Industrial Park, P.O. Box7,
Bar Lev, Israel 20156",C1 / Dental Implant,"31-847-MD /2010-DC
(End 01)",,MD-847,21.07.2015,15.11.2015,,
28,"M/s. Covidien Healthcare
India Pvt. Ltd., ""Doshi
Towers"", 6th Floor, # 156,
Poonamallee High Road,
Kilpauk, Chennai - 600010","M/s. Micro Therapeutics, Inc.
d/b/a Ev3 Neurovascular,
9775 Toledo Way, Irvine, CA
92618, USA.","1. UltraFlow™/HPC Flow
Directed Microcatheter
2. HyperGlide / Balloon
Microcatheter
3. Marathon / MicroCatheter
4. Echelon / Microcatheter
5. Onyx / Eiquid Embolic
System
6. HyperForm / Balloon Micro
Catheter
7. Axium / Detachable Coil
System","31-51A-MD/2006-DC
(Re-Reg. 03)",,MD-51A,21.07.2015,30.06.2018,,
,,,"8. Cragg McNamara / Valved
Infusion Catheter
9. MicroMewi /Multiple
sidehole Infusion Catheter
10. ProStream/ Multiple
sidehole Infusion wire
11. Solitaire AB /
Neurovascular Remodeling
Device
12. Apollo Onyx / Delivery
MicroCatheter
13. Axium / Detachable Coil
System - PGLA
14. Axium / Detachable Coil
System- Nylon
15. Silverspeed / Guidewire
16. X-Celerator /Guidewire
17. X-Pedion / Guidewire
18. Mirage / Guidewire
19. Rebar / Micro Catheter
20. Cadence / Threaded
Syringe
21. Embolization Device /
Pipeline
22. Marksman / Delivery
Catheter
23. Axium™ Prime /
Detachable Coil",,,,,,,
28,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial
Area, Phase-II, New Delhi-
110020","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
Having manufacturing
premises at
M/s. Boston Scientific
Corporation, Two Scimed
Place, Maple Grove, MN
55311, USA","1. Apex Monorail PTCA
Dilatation Catheter
2. Apex Over-The-Wire PTCA
Dilatation Catheter
3. NC Quantum Apex
Monorail PTCA Dilataton
Catheterl / PTCA Dilataton
Catheterl
4. NC Quantum Apex Over-
The-Wire PTCA Dilatation",31-1588-MD/2014-DC,,MD-1588,21.07.2015,15.07.2018,,
,,,"Catheter /PTCA Dilataton
Catheterl
5. Maverick2™ Monorail™
PTCA Dilatation Catheter /
PTCA Dilataton Catheterl
6. Quantum Maverick™
Monorail™ PTCA Dilatation
Catheter / PTCA Dilataton
Catheterl
7. Quantum Maverick™ Over-
the-wire™ PTCA Dilatation
Catheter / PTCA Dilataton
Catheterl
8. Coyote™ Monorail™ PTA
Balloon Dilatation Catheter /
PTA Balloon Dilataton
Catheterl
9. Coyote™ Over-the-wire™
PTA Balloon Dilatation
Catheter / PTCA Balloon
Dilataton Catheterl
10. Sterling™ Monorail™
PTA Balloon Dilatation
Catheter / PTA Balloon
Dilataton Catheterl
11. Sterling™ Over-the-
wire™ PTA Balloon Dilatation
Catheter / PTA Balloon
Dilataton Catheterl..
12. Sterling™ SL Monorail™
PTA Balloon Dilatation
Catheter / PTA Balloon
Dilataton Catheterl
13. Sterling™ SL Over-the-
wire PTA Balloon Dilatation
Catheter / PTA Balloon
Dilataton Catheterl
14. Rubicon™ 14 Support
Catheter/ Intravascular",,,,,,,
,,,"Guiding Catheter
15. Emerge™ Monorail PTCA
Dilatation Catheter/ PTCA
Dilation Catheter
16. Emerge™ Over-the-wire
PTCA Dilatation Catheter/
PTCA Dilation Catheter
17. Express™ Vascular SD
Premounted System
18. Innova™ OTW Self-
Expanding Stent System
19. Liberte™ Monorail™
Coronary Stent System /
Coronary Stent System
20. Omega™ Monorrail
PTCA Coronary Stent System
/ Coronary Stent System
21. Rubicon™ 18 Support
Catheter / Intravascular
guiding catheter
22. Rubicon™ 35 Support
Catheter / Intracascular
guiding catheter
23. Acuity™ Pro Guide
Catheter / Guide Catheter
24. Guidezilla™ Guide
Extension Catheter
25. Stingray Catheter/
Catheter
26. Stingray Extension Wire /
Extension wire
27. CrossBoss Catheter/
Catheter
28. Stingray Guidewires /
Guidewires
29. Rebel Monorail Pt Cr
Coronary Stent System /
Stent",,,,,,,
28,"M/s. Galderma India
Private limited, 23,
Steelmade Industrial
Estate, 2nd Floor, Marol,
Andheri East, Mumbai-
400059","M/s. Q-Med AB
Seminariegatan 21, SE-
75228 Uppsala, Sweden","1. Emervel Touch / Cross-
linked hyaluronic acid-1ml
2. Emervel Classic / Cross-
linked hyaluronic acid-1ml
3. Emervel Deep / Cross-
linked hyaluronic acid-1ml
4. Emervel Volume / Cross-
linked hyaluronic acid-1ml &
2ml
5. Emervel Lips / Cross-linked
hyaluronic acid-1ml","31-1170-MD/2012-DC
(End. 04 )",,MD-1170,24.07.2015,15.03.2016,,
28,"M/s. St. Jude Medical India
Pvt. Ltd., D.No. 8-3-
168/B/1, Plot No. 18 & 19,
Laxmi Nagar, Behind
T.B.Hospital, MCH Circle-
5, Mandal, Hyderabad Dist.","M/s. St. Jude Medical, 177
Country Road B, East, St.
Paul, MN 55117
Having manufacturing
premises at
M/s. St. Jude Medical Brasil
Ltda. Rua Professor Jose
Vieria De Mendonca, 1301
Bairro Engenho Nogueira,
Belo Horizonte Minas Gerais
MG-31.310-260, Brazil","1. Epic™ Supra Valve Aortic /
Heart Valve","31-943-MD/2011-DC
(Re-Reg. 01) (End. 02)",,MD-943,24.07.2015,15.06.2018,,
28,"M/s. Merit Medical Systems
India Pvt. Ltd.,
Unit No. 206-207, H M
Geneva House, 2nd Floor,
No. 14,
Cunningham Road,
Bangalore-560052,
Tal: 560052, Pin: 560052","M/s. Merit Medical Systems
Inc. 1600 West Merit
Parkway, South Jordan, Utah
84095, USA
Having manufacturing
premises at
M/s. Merit Medical Systems,
Inc., 14646 Kirby Drive,
Houston, Texas 77047, USA","1. Conciege Guiding Catheter
/ Guiding Catheter
2. Impress Angiographic
Catheter / Angiographic
Catheter
3. Impress Angiographic
Catheter with Legato
Hydrophilic Coating /
Angiographic Catheter
4. Performa Angiographic
Catheter / angiographic
Catheter
5. Performa Vessel Sizing
Angiographic Catheter /
Angiographic catheter
6. FEP Pigtail Angiographic",31-1564-MD/2014-DC,,MD-1564,24.07.2015,15.07.2018,,
,,,"Catheter/ Angiographic
Catheter",,,,,,,
28,"M/s. Morulaa HealthTech
Pvt. Ltd., Plot No.38, First
Floor, Rajeswari Street,
Santhosh Nagar,
Kandanchavdi, Chennai -
600096","M/s. Anthogyr , 2237 avenue
Andre Lasquin- 74700
SALLANCHES, France","1. Axiom Implant / Dental
Implant
2. Axiom Abutment /
Abutment
3. Healing Screws",31-1627-MD/2015-DC,,MD-1627,24.07.2015,23.07.2018,,
28,"M/s. Johnson & Johnson
Private Limited, J-1,
Ground Floor, GalaNo. 1 to
10, Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Taluka : Bhiwandi -15
(Thane - Zone 5), Pin :
421302","M/s. Creganna-Tactx Medical
1353 Dell Ave, Campbell, CA,
USA 95008
Having manufacturing
premises at
M/s. Creganna-Tactx Medical
Pte. Ltd., 8 Admiralty Street,
#07-10 Admirax, Singapore,
Central Singapore, Singapore
757438","1. EMPIRA™ R× /PTCA
Dilatation Catheter
2. EMPIRA™ NC R× /PTCA
Dilatation Catheter",31-1608-MD/2014-DC,,MD-1608,31.07.2015,31.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France","1. BioFix Spacer (Hip Spacer,
Knee Spaver and Shoulder
Spacer ) / Temporary
Implants with gentamicin
2. BioFix 1, BioFix 3, BioFix
PR , BioFix PR3 / Surgical
cements
3. BioFix VTP cement /
cement for vertebroplasty","31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Bard India Healthcare
Private Limited, 501, 5th
Floor, Hubtown Solaris,
N.S. Phadke Marg, Andheri
(E), Mumbai, Tal: Andheri
East, Mumbai-Zone5,
400069","M/s. C.R. Bard Inc., 8195
Industrial BLVD, Covington,
GA 30014, USA
Having manufacturing
premises at
M/s. C.R. Bard Inc., 289 Bay
Rd, Queensbury, NY 12804,
USA","1. NBIH™, GOETZ™, Semi-
Floting and Special Care
Electrode / Temporary Pacing
Electrode Catheter without
balloon (Stainless Steel)
2. Zucker™ and Myler™/
Temporary Pacing Electrode
Catheter without balloon
(Platinum & Nylon)
3. Balloon-Flow Assisted",31-1528-MD/2014-DC,,MD-1528,03.08.2015,15.07.2018,,
